"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-01",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-02",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-03",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-04",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-05",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-06",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-07",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-08",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-09",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-10",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-11",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-12",,,,,"0.47","6.0","6.0",,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-13",,,,,"0.05",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-14",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-15",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-16",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-17",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-18",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-19",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-20",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-21",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-22",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-23",,,,,"0.26",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-24",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-25",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-26",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-27",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-28",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-29",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-30",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-01-31",,,,,"0.08",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-01",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-02",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-03",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-04",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-05",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-06",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-07",,,,,"0.03",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-08",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-09",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-10",,,,,"0.08",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-11",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-12",,,,,"0.06","0.2",,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-13",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-14",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-15",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-16",,,,,"0.17",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-17",,,,,"0.18",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-18",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-19",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-20",,,,,"0.19",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-21",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-22",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-23",,,,,"0.02",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-24",,,,,"0.52",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-25",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-26",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-27",,,,,"0.00","0.2",,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-02-28",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-01",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-02",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-03",,,,,"0.04",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-04",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-05",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-06",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-07",,,,,"0.21","4.0",,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-08",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-09",,,,,"0.09",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-10",,,,,"0.04",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-11",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-12",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-13",,,,,"0.17",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-14",,,,,"0.42",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-15",,,,,"0.02",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-16",,,,,"0.00",,,,,,,,,,,,,,,,,,
"US10lanc043","LINCOLN 1.8 SE, NE US","40.77905","-96.647295",,"2019-03-17",,,,,"0.00",,,,,,,,,,,,,,,,,,
